actual_intent,predicted_intent,count
customer_service_other,delivery_delay,37
customer_service_other,delivery_missing,14
customer_service_other,payment_billing,6
customer_service_other,seller_promotion,5
customer_service_other,technical_support,5
payment_billing,return_refund,4
return_refund,delivery_delay,4
customer_service_other,account_access,3
customer_service_other,return_refund,3
customer_service_other,product_issue,3
delivery_missing,delivery_delay,2
payment_billing,seller_promotion,2
delivery_delay,seller_promotion,1
delivery_delay,return_refund,1
customer_service_other,order_status,1
order_status,delivery_delay,1
payment_billing,order_status,1
payment_billing,customer_service_other,1
product_issue,technical_support,1
return_refund,order_status,1
return_refund,seller_promotion,1
seller_promotion,customer_service_other,1
seller_promotion,delivery_delay,1
seller_promotion,product_issue,1
seller_promotion,return_refund,1
technical_support,account_access,1
technical_support,delivery_delay,1
technical_support,seller_promotion,1
